exp_date,genotype,feeding_capillary,blank_capillary
20120119,r4-Gal4/+,2.3,1.65
20120119,r4-Gal4/+,2.45,1.65
20120120,r4-Gal4/+,2.55,1.82
20120120,r4-Gal4/+,2.3,1.82
20120120,r4-Gal4/+,2.3,1.82
20120120,r4-Gal4/+,2.4,1.82
20120120,r4-Gal4/+,2.2,1.82
20120120,r4-Gal4/+,2.3,1.82
20120120,r4-Gal4/+,2.2,1.82
20120120,r4-Gal4/+,2.35,1.82
20120131,r4-Gal4/+,2.4,1.725
20120201,r4-Gal4/+,2.5,1.88
20120201,r4-Gal4/+,2.3,1.88
20120201,r4-Gal4/+,2.35,1.88
20120201,r4-Gal4/+,2.4,1.88
20120201,r4-Gal4/+,2.2,1.88
20120201,r4-Gal4/+,2.45,1.88
20120201,r4-Gal4/+,2.2,1.88
20120201,r4-Gal4/+,2.6,1.88
20120202,r4-Gal4/+,2.65,1.86
20120202,r4-Gal4/+,2.65,1.86
20120202,r4-Gal4/+,2.45,1.86
20120202,r4-Gal4/+,2.5,1.86
20120202,r4-Gal4/+,2.6,1.86
20120203,r4-Gal4/+,2.5,1.775
20120203,r4-Gal4/+,2.5,1.775
20120203,r4-Gal4/+,2.5,1.775
20120119,UAS-miR-iab-4/+,2.4,1.65
20120119,UAS-miR-iab-4/+,2.4,1.65
20120119,UAS-miR-iab-4/+,2.5,1.65
20120119,UAS-miR-iab-4/+,2.3,1.65
20120119,UAS-miR-iab-4/+,2.15,1.65
20120119,UAS-miR-iab-4/+,2.25,1.65
20120119,UAS-miR-iab-4/+,2.1,1.65
20120119,UAS-miR-iab-4/+,2.1,1.65
20120119,UAS-miR-iab-4/+,2.2,1.65
20120120,UAS-miR-iab-4/+,2.55,1.82
20120120,UAS-miR-iab-4/+,2.5,1.82
20120120,UAS-miR-iab-4/+,2.25,1.82
20120120,UAS-miR-iab-4/+,2.3,1.82
20120120,UAS-miR-iab-4/+,2.35,1.82
20120120,UAS-miR-iab-4/+,2.4,1.82
20120120,UAS-miR-iab-4/+,2.4,1.82
20120131,UAS-miR-iab-4/+,2.5,1.725
20120131,UAS-miR-iab-4/+,2.5,1.725
20120201,UAS-miR-iab-4/+,2.45,1.88
20120201,UAS-miR-iab-4/+,2.5,1.88
20120201,UAS-miR-iab-4/+,2.2,1.88
20120201,UAS-miR-iab-4/+,2.35,1.88
20120201,UAS-miR-iab-4/+,2.25,1.88
20120201,UAS-miR-iab-4/+,2.3,1.88
20120201,UAS-miR-iab-4/+,2.3,1.88
20120201,UAS-miR-iab-4/+,2.4,1.88
20120202,UAS-miR-iab-4/+,2.5,1.86
20120202,UAS-miR-iab-4/+,2.5,1.86
20120202,UAS-miR-iab-4/+,2.4,1.86
20120202,UAS-miR-iab-4/+,2.3,1.86
20120202,UAS-miR-iab-4/+,2.5,1.86
20120202,UAS-miR-iab-4/+,2.5,1.86
20120203,UAS-miR-iab-4/+,2.45,1.775
20120203,UAS-miR-iab-4/+,2.3,1.775
20120203,UAS-miR-iab-4/+,2.4,1.775
20120203,UAS-miR-iab-4/+,2.4,1.775
20120203,UAS-miR-iab-4/+,2.4,1.775
20120119,r4>miR-iab-4,2.4,1.65
20120119,r4>miR-iab-4,2.3,1.65
20120119,r4>miR-iab-4,2.5,1.65
20120119,r4>miR-iab-4,2.3,1.65
20120119,r4>miR-iab-4,2.3,1.65
20120119,r4>miR-iab-4,2.3,1.65
20120119,r4>miR-iab-4,2.45,1.65
20120120,r4>miR-iab-4,2.65,1.82
20120120,r4>miR-iab-4,2.6,1.82
20120120,r4>miR-iab-4,2.4,1.82
20120120,r4>miR-iab-4,2.6,1.82
20120120,r4>miR-iab-4,2.6,1.82
20120120,r4>miR-iab-4,2.55,1.82
20120131,r4>miR-iab-4,2.6,1.725
20120201,r4>miR-iab-4,2.8,1.88
20120201,r4>miR-iab-4,2.6,1.88
20120201,r4>miR-iab-4,2.6,1.88
20120201,r4>miR-iab-4,2.7,1.88
20120201,r4>miR-iab-4,2.55,1.88
20120201,r4>miR-iab-4,2.5,1.88
20120201,r4>miR-iab-4,2.8,1.88
20120201,r4>miR-iab-4,2.8,1.88
20120202,r4>miR-iab-4,2.6,1.86
20120202,r4>miR-iab-4,2.6,1.86
20120202,r4>miR-iab-4,2.5,1.86
20120202,r4>miR-iab-4,2.6,1.86
20120203,r4>miR-iab-4,2.4,1.775
20120203,r4>miR-iab-4,2.7,1.775
20120203,r4>miR-iab-4,2.7,1.775
20120203,r4>miR-iab-4,2.6,1.775
