,Round,Cycle,MouseID,Gender,Donor,ASD_diagnosis,OFT_Distance,OFT_velocity,OFT_LrgCntr_freq,OFT_LrgCntr_duration,OFT_LrgCntr_latency,OFT_SmlCntr_freq,OFT_SmlCntr_duration,OFT_SmlCntr_latency,OFT_Movement,MB_visible,MB_buried,MB_percentBuried,DSI_Agrsn_freq,DSI_Agrsn_duration,DSI_Social_freq,DSI_Social_duration,DSI_Groom_freq,DSI_Groom_Duration,SI_Habit_Social,SI_Habit_Cntr,SI_Habit_NonSocial,SI_Sociability_Social,SI_Sociability_Cntr,SI_Sociability_NonSocial,Unnamed: 30,Unnamed: 31,Unnamed: 32,USV_freq,USV_Duration,DSI_USV_median,DSI_USV_StdDev,DSI_USV_Freq,DSI_USV_Duration,DSI_USV_Slbl_num,DSI_USV_Slbl_Duration,DSI_USV_Slbl_Gap_Length,DSI_USV_Slbl_Bout_freq,DSI_USV_Slbl_Bout_gap,DSI_USV_Slbl_SlblPerBout,Unnamed: 45,SI_index
0,1.0,1.0,1.0,Female,C1,NT,2763.6,5.08254,113.0,141.141,0.0,63.0,187.921,0.8008,49.2161,17.0,3.0,15.0,,,,,,,176.77700000000002,174.708,174.708,326.126,102.369,145.612,,,,,,,,,,,,,,,,,19.13286612484049
1,1.0,1.0,2.0,Female,C1,NT,2574.93,4.59349,89.0,103.704,16.2829,56.0,191.12400000000002,17.1505,47.3479,12.0,8.0,40.0,,,,,,,175.30900000000003,201.40099999999998,178.378,245.37900000000002,99.6997,230.63099999999997,,,,,,,,,,,,,,,,,1.5491271191781735
2,1.0,1.0,3.0,Female,C1,NT,1600.45,2.86944,32.0,103.43700000000001,25.4254,9.0,25.1585,48.9823,33.4594,19.0,1.0,5.0,,,,,,,268.936,162.963,147.94799999999998,285.085,78.7454,209.476,,,,,,,,,,,,,,,,,7.644051997630214
3,1.0,1.0,4.0,Female,C1,NT,1698.48,3.02565,33.0,28.295,18.285,6.0,13.7471,125.19200000000001,32.3807,17.0,3.0,15.0,,,,,,,327.661,167.968,90.8909,324.191,89.5562,149.016,,,,,,,,,,,,,,,,,18.50934157778731
4,1.0,1.0,5.0,Male,C1,NT,3192.95,5.46753,85.0,67.9346,13.013,40.0,72.8729,18.7521,58.6234,18.0,2.0,10.0,,,,,,,217.551,162.095,146.813,257.124,111.645,162.029,,,,32.0,0.1018,,,,,,,,,,,,11.343709814793165
5,1.0,1.0,6.0,Male,C1,NT,4330.52,7.54568,130.0,86.6867,0.467133,54.0,68.7354,0.867534,67.4969,14.0,6.0,30.0,,,,,,,162.496,188.52200000000002,213.547,264.598,111.044,200.4,,,,737.0,9.2857,,,,,,,,,,,,6.9030404431847
6,1.0,1.0,7.0,Male,C1,NT,4046.53,7.18536,107.0,90.0234,10.4104,44.0,44.3777,10.6106,63.3381,16.0,4.0,20.0,,,,,,,160.42700000000002,200.93400000000003,190.72400000000002,283.41700000000003,113.447,176.51,,,,1014.0,23.3664,,,,,,,,,,,,11.622170474879717
7,1.0,1.0,8.0,Male,C1,NT,4007.3,6.94855,108.0,99.2993,6.740069999999999,39.0,48.9156,7.14047,65.3397,18.0,2.0,10.0,,,,,,,200.4,212.012,166.834,251.585,103.43700000000001,216.416,,,,517.0,17.8983,,,,,,,,,,,,3.757363766316743
8,1.0,1.0,9.0,Female,C1,NT,3403.8,6.14677,66.0,74.7414,10.5439,26.0,27.6944,10.8775,57.7338,11.0,9.0,45.0,,,,,,,194.328,183.11599999999999,186.453,242.709,93.62700000000001,221.555,,,,,,,,,,,,,,,,,2.2782296279702976
20,1.0,1.0,22.0,Male,A24-new,ASD,3491.77,6.09767,80.0,94.5612,0.2002,42.0,57.1238,0.4004,58.123000000000005,13.0,7.0,35.0,,,,,,,235.102,214.34799999999998,134.334,300.767,81.2813,205.138,,,,574.0,4.9328,,,,,,,,,,,,9.451280378727233
21,1.0,1.0,23.0,Male,A24-new,ASD,3885.93,6.6352199999999995,60.0,45.2452,7.073739999999999,19.0,16.0828,7.474139999999999,64.2166,15.0,5.0,25.0,,,,,,,198.532,183.917,171.171,247.447,91.0911,225.75900000000001,,,,247.0,2.7434,,,,,,,,,,,,2.29160238881164
22,1.0,1.0,24.0,Female,A24-new,ASD,3398.18,5.87876,106.0,189.523,0.0,30.0,51.0511,10.4104,52.5297,15.0,5.0,25.0,,,,,,,169.36900000000003,132.466,263.46299999999997,343.744,75.2753,150.751,,,,,,,,,,,,,,,,,19.514150800311427
23,1.0,1.0,25.0,Female,A24-new,ASD,4380.32,7.68157,115.0,88.7554,0.0,41.0,88.1548,0.2002,68.1085,9.0,11.0,55.0,,,,,,,161.762,233.967,147.08,365.966,98.2316,120.12,,,,,,,,,,,,,,,,,25.28832346539501
