status	exp	origin	picture	tank2	tank	date	daysPI	Fdensity	Fdensity0	cephL	genL	ES	EES	ES1L	ES2L	eggsES1total	eggsES2total	eggstotal	max_ES
farmed	1	B	1_150610_f1	101	1	6/15/10	60	6	6	4.409	3.830	1	2	13.384	12.632	187	178	365	187
farmed	1	B	1_150610_f2	101	1	6/15/10	60	6	6	4.207	3.788	1	2	10.773	11.314	156	144	300	156
farmed	1	B	1_150610_f3	101	1	6/15/10	60	6	6	4.457	3.604	1	2	11.900	12.477	197	212	409	212
farmed	1	B	1_150610_f5	101	1	6/15/10	60	6	6	4.750	3.754	1	2	12.794	12.516	192	182	374	192
farmed	1	B	1_150610_f6	101	1	6/15/10	60	6	6	4.757	3.885	1	2	13.881	14.877	196	223	419	223
farmed	1	B	1_200610_ES	101	1	6/20/10	65	6	6	.	.	2	2	21.736	20.592	378	345	723	378
farmed	1	B	1_200610_f1	101	1	6/20/10	65	6	6	4.204	3.397	2	2	17.424	18.015	302	311	613	311
farmed	1	B	1_200610_f2	101	1	6/20/10	65	6	6	4.492	3.743	2	2	19.838	21.403	341	354	696	354
farmed	1	B	1_250610_f1	101	1	6/25/10	70	6	6	4.800	4.060	2	2	17.53	17.945	311	310	621	311
farmed	1	B	1_250610_f2	101	1	6/25/10	70	6	6	4.549	3.778	3	2	15.502	20.761	291	337	628	337
farmed	1	B	1_250610_f5	101	1	6/25/10	70	6	6	4.688	3.949	2	2	20.067	19.742	370	386	757	386
farmed	1	B	1_020710_f1	101	1	7/2/10	77	6	6	4.745	3.948	3	2	18.947	20.133	329	361	690	361
farmed	1	B	1_020710_f2	101	1	7/2/10	77	6	6	4.560	3.798	3	2	20.071	19.876	384	389	773	389
farmed	1	B	1_020710_f3	101	1	7/2/10	77	6	6	4.595	3.346	3	2	4.95	5.54	17	28	45	28
farmed	1	B	1_020710_f4	101	1	7/2/10	77	6	6	4.640	3.825	3	2	7.67	21.527	45	367	412	367
farmed	1	B	1_190710_f1	101	1	7/19/10	94	5	6	.	.	4	2	19.97	19.638	367	371	738	371
farmed	1	B	1_190710_f2	101	1	7/19/10	94	5	6	4.886	4.151	4	2	21.305	17.543	365	246	611	365
farmed	1	B	1_280710_f3	101	1	7/28/10	103	5	6	4.772	4.270	5	2	18.817	17.948	333	301	633	333
farmed	1	B	2_110610_f1	102	2	6/11/10	56	3	3	4.451	3.649	1	2	13.319	13.813	202	210	412	210
farmed	1	B	2_110610_f2	102	2	6/11/10	56	3	3	4.316	3.519	1	2	12.515	12.229	206	199	405	206
farmed	1	B	2_110610_f3	102	2	6/11/10	56	3	3	4.409	3.287	1	2	11.700	11.300	188	186	374	188
farmed	1	B	2_210610_f1	102	2	6/21/10	66	3	3	4.369	3.608	2	2	15.042	14.831	261	269	529	269
farmed	1	B	2_210610_f3	102	2	6/21/10	66	3	3	4.502	3.635	2	2	11.437	19.59	213	334	547	334
farmed	1	B	2_300610_f2	102	2	6/30/10	75	2	3	4.482	3.510	3	2	17.281	21.255	278	350	628	350
farmed	1	B	2_120710_f2	102	2	7/12/10	87	1	3	4.464	3.655	4	2	22.299	19.81	389	362	750	389
farmed	1	B	2_200710_f2	102	2	7/20/10	95	1	3	4.550	3.524	5	2	18.135	19.884	319	335	654	335
farmed	1	B	3_110610_f1	103	3	6/11/10	56	1	1	4.620	3.231	1	2	9.870	9.613	133	134	267	134
farmed	1	B	3_020710_f1	103	3	7/2/10	77	2	2	4.804	4.174	3	2	21.662	21.342	401	389	790	401
farmed	1	B	3_020710_f2	103	3	7/2/10	77	2	2	4.594	3.365	3	2	17.398	17.614	291	306	597	306
farmed	1	B	3_120710_f1	103	3	7/12/10	87	2	2	4.739	4.295	4	2	23.195	23.121	391	393	784	393
farmed	1	B	3_120710_f2	103	3	7/12/10	87	2	2	4.420	3.488	4	2	18.644	18.488	300	324	624	324
farmed	1	B	3_210710_f1	103	3	7/21/10	96	2	2	4.516	4.282	5	2	7.352	7.343	60	60	120	60
farmed	1	B	3_210710_f2	103	3	7/21/10	96	2	2	4.617	3.632	5	2	20.461	20.442	342	355	697	355
wild	1	O	4_020610a	104	4	6/2/10	57	2	2	4.644	3.723	1	2	13.701	13.448	211	214	425	214
wild	1	O	4_020610d	104	4	6/2/10	57	2	2	4.406	3.765	1	2	12.903	13.221	216	211	427	216
wild	1	O	4_100610_f1	104	4	6/10/10	65	1	2	4.543	3.760	2	2	17.899	20.462	346	356	702	356
wild	1	O	4_300610_f1	104	4	30/6/10	85	1	2	4.546	3.852	4	2	22.231	22.205	395	405	800	405
wild	1	O	4_120710_f1	104	4	7/12/10	97	1	2	4.422	3.844	5	2	13.845	22.966	224	381	605	381
wild	1	O	5_030610a	105	5	6/3/10	58	3	3	4.665	4.108	1	2	14.287	14.746	217	234	451	234
