V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
iter	10000	50000	1e+05	10000	50000	1e+05	10000	50000	1e+05	10000	50000	1e+05
mu	0	0	0	0	0	0	0	0	0	0	0	0
sigma	0.8	0.8	0.8	0.4	0.4	0.4	0.8	0.8	0.8	0.4	0.4	0.4
effect	0	0	0	0	0	0	1.6	1.6	1.6	1.6	1.6	1.6
cn_mean	9.99212675503963	9.99546133190298	10.0010279907199	9.99791548052946	9.99442869094934	10.0010687282561	9.99739828005804	9.99546133190298	10.0010279907199	9.99791548052946	9.99442869094934	10.0010687282561
cn_sd	1.91228592219141	1.94790660047329	1.9763639067852	1.91219503973763	1.94888870478225	1.97557820758248	1.91269866060279	1.94790660047329	1.9763639067852	1.91219503973763	1.94888870478225	1.97557820758248
cn_cv	0.191379269806293	0.194879109206903	0.197616075929304	0.191259372362324	0.194997509617244	0.197536709451948	0.191319642073086	0.194879109206903	0.197616075929304	0.191259372362324	0.194997509617244	0.197536709451948
tr_mean	10.0078732449604	10.004538668097	9.99897200928009	10.0020845194705	10.0055713090507	9.99893127174394	11.6030179951327	11.6052648549925	11.5988075307649	11.6024180425858	11.6064627184988	11.598760275223
tr_sd	1.91741861139983	1.95080339264734	1.9733189033777	1.91753930781294	1.94981689840593	1.97410545852186	2.22376140538246	2.26293193547092	2.28904992791813	2.22434559706301	2.26178760215088	2.28996233188536
tr_cv	0.191591016839205	0.194991838940876	0.19735217795852	0.191713967631464	0.194873120002873	0.197431645930051	0.191653706502506	0.194991838940876	0.19735217795852	0.191713967631464	0.194873120002873	0.197431645930051
n	6	10	20	6	10	20	6	10	20	6	10	20
alpha	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
SW_rej.res	0.4128	0.74202	0.98184	0.1554	0.31802	0.65279	0.3976	0.73894	0.98002	0.1573	0.31728	0.64714
t.uncond	0.0349	0.03782	0.04359	0.0447	0.04644	0.04854	0.1799	0.32642	0.61008	0.1805	0.32078	0.61199
t_pass.res	0.0541553133514986	0.0930304674780991	0.230176211453745	0.0488988870471229	0.0565412475439162	0.0723769476685579	0.218625498007968	0.39952501340688	0.688688688688689	0.188679245283019	0.332698617295524	0.61449300005668
t_rej.residual	0.00750968992248062	0.0186248349101102	0.0401389228387517	0.0218790218790219	0.0247783158291931	0.0358614562110326	0.121227364185111	0.300592740953257	0.608477378012694	0.136681500317864	0.295133635905194	0.610625212473344
mww.uncond	0.0405	0.04226	0.04867	0.0411	0.04226	0.04867	0.2452	0.49088	0.84875	0.1746	0.3322	0.66137
mww_fail.res	0.028827519379845	0.0352820678687906	0.0469730302289579	0.0418275418275418	0.0411294887114018	0.0441183228909757	0.287726358148893	0.533466857931632	0.852309136548234	0.225047679593134	0.415279878971256	0.702954538430633
t_mww_fail.res	0.0437	0.05018	0.0503	0.0478	0.05164	0.05393	0.2461	0.4985	0.84904	0.1944	0.3589	0.67174
logt.uncond	0.0394	0.04288	0.04733	0.0485	0.0484	0.04921	0.2249	0.39214	0.72779	0.199	0.35036	0.66027
logt_fail.res	0.0142926356589147	0.0254979650144201	0.0444777153100301	0.0302445302445302	0.0323250110055971	0.0401047810168661	0.201710261569416	0.383874198175765	0.728301463235444	0.195804195804196	0.364977307110439	0.677905862719041
t_logt_fail.res	0.0377	0.04292	0.04785	0.046	0.04884	0.05131	0.2119	0.38796	0.72751	0.1898	0.34294	0.65553
