exp	status	origin	tank2	ES	Fdensity	Fdensity0	propFdens
1	farmed	B	101	1	6	6	1
1	farmed	B	101	2	6	6	1
1	farmed	B	101	3	6	6	1
1	farmed	B	101	4	6	6	1
1	farmed	B	101	5	5	6	0.833333333
1	farmed	B	102	1	3	3	1
1	farmed	B	102	2	3	3	1
1	farmed	B	102	3	2	3	0.666666667
1	farmed	B	102	4	1	3	0.333333333
1	farmed	B	102	5	1	3	0.333333333
1	farmed	B	103	1	1	1	1
1	farmed	B	103	2	0	1	0
1	farmed	B	103	3	0	1	0
1	farmed	B	103	4	0	1	0
1	farmed	B	103	5	0	1	0
1	wild	O	104	1	2	2	1
1	wild	O	104	2	1	2	0.5
1	wild	O	104	3	1	2	0.5
1	wild	O	104	4	1	2	0.5
1	wild	O	104	5	1	2	0.5
1	wild	O	105	1	3	3	1
1	wild	O	105	2	3	3	1
1	wild	O	105	3	3	3	1
1	wild	O	105	4	3	3	1
1	wild	O	105	5	3	3	1
1	wild	O	106	1	1	1	1
1	wild	O	106	2	1	1	1
1	wild	O	106	3	1	1	1
1	wild	O	106	4	1	1	1
1	wild	O	106	5	1	1	1
1	farmed	B	107	1	4	4	1
1	farmed	B	107	2	2	4	0.5
1	farmed	B	107	3	2	4	0.5
1	farmed	B	107	4	2	4	0.5
1	farmed	B	107	5	2	4	0.5
1	farmed	B	108	1	2	2	1
1	farmed	B	108	2	2	2	1
1	farmed	B	108	3	2	2	1
1	farmed	B	108	4	2	2	1
1	farmed	B	108	5	2	2	1
1	farmed	B	109	1	2	2	1
1	farmed	B	109	2	2	2	1
1	farmed	B	109	3	2	2	1
1	farmed	B	109	4	2	2	1
1	farmed	B	109	5	2	2	1
1	wild	O	110	1	2	2	1
1	wild	O	110	2	1	2	0.5
1	wild	O	110	3	1	2	0.5
1	wild	O	110	4	1	2	0.5
1	wild	O	110	5	1	2	0.5
1	wild	O	111	1	1	1	1
1	wild	O	111	2	1	1	1
1	wild	O	111	3	1	1	1
1	wild	O	111	4	1	1	1
1	wild	O	111	5	1	1	1
1	farmed	B	113	1	1	1	1
1	farmed	B	113	2	1	1	1
1	farmed	B	113	3	0	1	0
1	farmed	B	113	4	0	1	0
1	farmed	B	113	5	0	1	0
1	farmed	B	114	1	6	6	1
1	farmed	B	114	2	3	6	0.5
1	farmed	B	114	3	3	6	0.5
1	farmed	B	114	4	3	6	0.5
1	farmed	B	114	5	3	6	0.5
1	farmed	B	115	1	6	6	1
1	farmed	B	115	2	5	6	0.833333333
1	farmed	B	115	3	4	6	0.666666667
1	farmed	B	115	4	4	6	0.666666667
1	farmed	B	115	5	2	6	0.333333333
1	wild	O	116	1	4	4	1
1	wild	O	116	2	4	4	1
1	wild	O	116	3	4	4	1
1	wild	O	116	4	4	4	1
1	wild	O	117	1	4	4	1
1	wild	O	117	2	4	4	1
1	wild	O	117	3	4	4	1
1	wild	O	117	4	4	4	1
1	wild	O	117	5	4	4	1
1	wild	O	118	1	2	2	1
1	wild	O	118	2	1	2	0.5
1	wild	O	118	3	1	2	0.5
1	wild	O	118	4	0	2	0
1	wild	O	118	5	0	2	0
1	farmed	B	119	1	4	4	1
1	farmed	B	119	2	3	4	0.75
1	farmed	B	119	3	2	4	0.5
1	farmed	B	119	4	0	4	0
1	farmed	B	119	5	0	4	0
1	farmed	B	121	1	3	3	1
1	farmed	B	121	2	3	3	1
1	farmed	B	121	3	3	3	1
1	farmed	B	121	4	3	3	1
1	farmed	B	121	5	2	3	0.666666667
1	wild	O	122	1	2	2	1
1	wild	O	122	2	2	2	1
1	wild	O	122	3	2	2	1
1	wild	O	122	4	2	2	1
1	wild	O	122	5	2	2	1
1	wild	O	123	1	3	3	1
1	wild	O	123	2	2	3	0.666666667
1	wild	O	123	3	2	3	0.666666667
1	wild	O	123	4	2	3	0.666666667
1	wild	O	123	5	2	3	0.666666667
1	wild	O	124	1	2	2	1
1	wild	O	124	2	2	2	1
1	wild	O	124	3	2	2	1
1	wild	O	124	4	2	2	1
1	wild	O	124	5	2	2	1
1	farmed	B	125	1	2	2	1
1	farmed	B	125	2	2	2	1
1	farmed	B	125	3	2	2	1
1	farmed	B	125	4	1	2	0.5
1	farmed	B	125	5	1	2	0.5
1	farmed	B	126	1	3	3	1
1	farmed	B	126	2	3	3	1
1	farmed	B	126	3	3	3	1
1	farmed	B	126	4	3	3	1
1	farmed	B	126	5	3	3	1
1	farmed	B	127	1	3	3	1
1	farmed	B	127	2	3	3	1
1	farmed	B	127	3	2	3	0.666666667
1	farmed	B	127	4	0	3	0
1	farmed	B	127	5	0	3	0
1	wild	O	128	1	1	1	1
1	wild	O	128	2	1	1	1
1	wild	O	128	3	1	1	1
1	wild	O	128	4	1	1	1
1	wild	O	128	5	1	1	1
1	wild	O	129	1	1	1	1
1	wild	O	129	2	1	1	1
1	wild	O	129	3	1	1	1
1	wild	O	130	1	3	3	1
1	wild	O	130	2	3	3	1
1	wild	O	130	3	2	3	0.666666667
1	wild	O	130	4	1	3	0.333333333
1	wild	O	130	5	1	3	0.333333333
2	wild	S	202	1	3	3	1
2	wild	S	202	2	3	3	1
2	wild	S	202	3	3	3	1
2	wild	S	202	4	3	3	1
2	wild	S	202	5	2	3	0.666666667
2	wild	S	203	1	5	5	1
2	wild	S	203	2	4	5	0.8
2	wild	S	203	3	4	5	0.8
2	wild	S	203	4	4	5	0.8
2	wild	S	203	5	4	5	0.8
2	farmed	F	204	1	8	8	1
2	farmed	F	204	2	7	8	0.875
2	farmed	F	204	3	7	8	0.875
2	farmed	F	204	4	7	8	0.875
2	farmed	F	204	5	7	8	0.875
2	farmed	F	205	1	10	10	1
2	farmed	F	205	2	9	10	0.9
2	farmed	F	205	3	5	10	0.5
2	farmed	F	205	4	3	10	0.3
2	farmed	F	205	5	3	10	0.3
2	farmed	F	206	1	13	13	1
2	farmed	F	206	2	10	13	0.769230769
2	farmed	F	206	3	9	13	0.692307692
2	farmed	F	206	4	8	13	0.615384615
2	farmed	F	206	5	6	13	0.461538462
2	wild	S	207	1	9	9	1
2	wild	S	207	2	9	9	1
2	wild	S	207	3	9	9	1
2	wild	S	207	4	9	9	1
2	wild	S	207	5	7	9	0.777777778
2	wild	S	208	1	4	4	1
2	wild	S	208	2	4	4	1
2	wild	S	208	3	4	4	1
2	wild	S	208	4	4	4	1
2	wild	S	208	5	4	4	1
2	wild	S	209	1	6	6	1
2	wild	S	209	2	6	6	1
2	wild	S	209	3	6	6	1
2	wild	S	209	4	6	6	1
2	wild	S	209	5	5	6	0.833333333
2	farmed	F	210	1	7	7	1
2	farmed	F	210	2	6	7	0.857142857
2	farmed	F	210	3	5	7	0.714285714
2	farmed	F	210	4	4	7	0.571428571
2	farmed	F	210	5	4	7	0.571428571
