exp	status	origin	tank2	ES	Fdensity	Fdensity0	propFdens	copepodites
1	farmed	B	101	1	6	6	1	40
1	farmed	B	102	1	3	3	1	40
1	farmed	B	103	1	1	1	1	40
1	wild	O	104	1	2	2	1	40
1	wild	O	105	1	3	3	1	40
1	wild	O	106	1	1	1	1	40
1	farmed	B	107	1	4	4	1	40
1	farmed	B	108	1	2	2	1	40
1	farmed	B	109	1	2	2	1	40
1	wild	O	110	1	2	2	1	40
1	wild	O	111	1	1	1	1	40
1	farmed	B	113	1	1	1	1	40
1	farmed	B	114	1	6	6	1	40
1	farmed	B	115	1	6	6	1	40
1	wild	O	116	1	4	4	1	40
1	wild	O	117	1	4	4	1	40
1	wild	O	118	1	2	2	1	40
1	farmed	B	119	1	4	4	1	40
1	farmed	B	121	1	3	3	1	40
1	wild	O	122	1	2	2	1	40
1	wild	O	123	1	3	3	1	40
1	wild	O	124	1	2	2	1	40
1	farmed	B	125	1	2	2	1	40
1	farmed	B	126	1	3	3	1	40
1	farmed	B	127	1	3	3	1	40
1	wild	O	128	1	1	1	1	40
1	wild	O	129	1	1	1	1	40
1	wild	O	130	1	3	3	1	40
2	wild	S	202	1	3	3	1	80
2	wild	S	203	1	5	5	1	80
2	farmed	F	204	1	8	8	1	80
2	farmed	F	205	1	10	10	1	80
2	farmed	F	206	1	13	13	1	80
2	wild	S	207	1	9	9	1	80
2	wild	S	208	1	4	4	1	80
2	wild	S	209	1	6	6	1	80
2	farmed	F	210	1	7	7	1	80
2	farmed	F	211	1	7	7	1	80
2	farmed	F	212	1	6	6	1	80
2	wild	S	213	1	3	3	1	80
2	wild	S	214	1	6	6	1	80
2	wild	S	215	1	8	8	1	80
2	farmed	F	216	1	4	4	1	80
2	farmed	F	217	1	4	4	1	80
2	farmed	F	218	1	7	7	1	80
2	wild	S	219	1	8	8	1	80
2	farmed	F	220	1	4	4	1	80
2	farmed	F	221	1	10	10	1	80
2	wild	S	223	1	3	3	1	80
2	farmed	F	224	1	5	5	1	80
2	farmed	F	225	1	4	4	1	80
2	wild	S	226	1	4	4	1	80
2	wild	S	227	1	3	3	1	80
2	farmed	F	228	1	4	4	1	80
2	farmed	F	229	1	1	1	1	80
2	wild	S	230	1	2	2	1	80
