status	exp	origin	tank2	tank	daysPI	ES
farmed	1	B	101	1	51	1
farmed	1	B	101	1	51	1
farmed	1	B	101	1	52	1
farmed	1	B	101	1	55	1
farmed	1	B	101	1	55	1
farmed	1	B	101	1	58	1
farmed	1	B	101	1	61	2
farmed	1	B	101	1	61	2
farmed	1	B	101	1	62	2
farmed	1	B	101	1	65	2
farmed	1	B	101	1	66	2
farmed	1	B	101	1	68	2
farmed	1	B	101	1	72	3
farmed	1	B	101	1	72	3
farmed	1	B	101	1	73	3
farmed	1	B	101	1	76	3
farmed	1	B	101	1	76	3
farmed	1	B	101	1	78	3
farmed	1	B	101	1	82	4
farmed	1	B	101	1	82	4
farmed	1	B	101	1	86	4
farmed	1	B	101	1	86	4
farmed	1	B	101	1	88	4
farmed	1	B	101	1	95	5
farmed	1	B	101	1	98	5
farmed	1	B	102	2	52	1
farmed	1	B	102	2	53	1
farmed	1	B	102	2	55	1
farmed	1	B	102	2	62	2
farmed	1	B	102	2	63	2
farmed	1	B	102	2	64	2
farmed	1	B	102	2	74	3
farmed	1	B	102	2	74	3
farmed	1	B	102	2	84	4
farmed	1	B	102	2	93	5
farmed	1	B	103	3	55	1
wild	1	O	104	4	53	1
wild	1	O	104	4	56	1
wild	1	O	104	4	64	2
wild	1	O	104	4	74	3
wild	1	O	104	4	84	4
wild	1	O	104	4	95	5
wild	1	O	105	5	52	1
wild	1	O	105	5	53	1
wild	1	O	105	5	53	1
wild	1	O	105	5	61	2
wild	1	O	105	5	62	2
wild	1	O	105	5	63	2
wild	1	O	105	5	70	3
wild	1	O	105	5	72	3
wild	1	O	105	5	74	3
wild	1	O	105	5	80	4
wild	1	O	105	5	82	4
wild	1	O	105	5	83	4
wild	1	O	105	5	90	5
wild	1	O	105	5	93	5
wild	1	O	105	5	93	5
wild	1	O	106	6	55	1
wild	1	O	106	6	65	2
wild	1	O	106	6	75	3
wild	1	O	106	6	87	4
wild	1	O	106	6	99	5
farmed	1	B	107	7	50	1
farmed	1	B	107	7	52	1
farmed	1	B	107	7	52	1
farmed	1	B	107	7	53	1
farmed	1	B	107	7	61	2
farmed	1	B	107	7	63	2
farmed	1	B	107	7	71	3
farmed	1	B	107	7	73	3
farmed	1	B	107	7	81	4
farmed	1	B	107	7	84	4
farmed	1	B	107	7	90	5
