V1	V2	V3	V4	V5	V6
iter	10000	10000	10000	10000	10000	10000
mu	10	10	10	10	10	10
sigma	1	1	1	1	1	1
effect	0	0	0	0.8	0.8	0.8
cn_mean	9.99775591668505	9.99775591668505	9.99775591668505	9.99995081999545	9.99995081999545	9.99995081999545
cn_sd	1.00352323462688	1.00352323462688	1.00352323462688	0.997403546016014	0.997403546016014	0.997403546016014
cn_cv	0.100374848414945	0.100374848414945	0.100374848414945	0.0997408451271231	0.0997408451271231	0.0997408451271231
tr_mean	10.0010294857652	10.0010294857652	10.0010294857652	10.7987802178944	10.7987802178944	10.7987802178944
tr_sd	1.00121065290003	1.00121065290003	1.00121065290003	0.999112482759376	0.999112482759376	0.999112482759376
tr_cv	0.100110759029866	0.100110759029866	0.100110759029866	0.0925208646346716	0.0925208646346716	0.0925208646346716
n	10	10	10	10	10	10
alpha	0.1	0.05	0.01	0.1	0.05	0.01
SW_rej.res	0.0968	0.0474	0.0096	0.1043	0.0506	0.008
t.uncond	0.048	0.048	0.048	0.3941	0.3941	0.3941
t_pass.res	0.0483835252435784	0.0486038211211421	0.0482633279483037	0.39622641509434	0.394986307141352	0.393951612903226
t_rej.residual	0.0444214876033058	0.0358649789029536	0.0208333333333333	0.375838926174497	0.377470355731225	0.4125
mww.uncond	0.0401	0.0401	0.0401	0.3538	0.3538	0.3538
mww_fail.res	0.0578512396694215	0.0548523206751055	0.0729166666666667	0.409395973154362	0.432806324110672	0.5375
t_mww_fail.res	0.0493	0.0489	0.0485	0.3976	0.3969	0.3951
logt.uncond	0.0475	0.0475	0.0475	0.3929	0.3929	0.3929
logt_fail.res	0.0454545454545455	0.0379746835443038	0.0416666666666667	0.37679769894535	0.383399209486166	0.3875
t_logt_fail.res	0.0481	0.0481	0.0482	0.3942	0.3944	0.3939
