beta_0 beta_1 n theta t Welch log Wilcoxan nb
4 0 5 0.5 0.037 0.02 0.05 0.028 0.164
4 0 10 0.5 0.031 0.024 0.043 0.041 0.091
4 0 20 0.5 0.041 0.039 0.048 0.043 0.074
4 0 40 0.5 0.047 0.046 0.043 0.041 0.058
4 2 5 0.5 0.035 0.023 0.065 0.04 0.186
4 2 10 0.5 0.063 0.052 0.088 0.079 0.145
4 2 20 0.5 0.102 0.099 0.105 0.093 0.163
4 2 40 0.5 0.228 0.224 0.191 0.176 0.261
4 4 5 0.5 0.041 0.026 0.082 0.05 0.238
4 4 10 0.5 0.1 0.079 0.127 0.095 0.269
4 4 20 0.5 0.247 0.233 0.224 0.199 0.359
4 4 40 0.5 0.5 0.494 0.423 0.368 0.567
4 8 5 0.5 0.091 0.033 0.151 0.101 0.361
4 8 10 0.5 0.217 0.166 0.257 0.229 0.445
4 8 20 0.5 0.528 0.504 0.472 0.408 0.674
4 8 40 0.5 0.881 0.876 0.785 0.708 0.919
10 0 5 0.5 0.018 0.012 0.04 0.021 0.164
10 0 10 0.5 0.029 0.023 0.046 0.037 0.086
10 0 20 0.5 0.033 0.032 0.039 0.032 0.06
10 0 40 0.5 0.053 0.053 0.056 0.056 0.066
10 5 5 0.5 0.035 0.018 0.057 0.031 0.201
10 5 10 0.5 0.055 0.045 0.078 0.067 0.141
10 5 20 0.5 0.104 0.099 0.095 0.094 0.147
10 5 40 0.5 0.225 0.224 0.181 0.174 0.255
10 10 5 0.5 0.048 0.027 0.08 0.062 0.263
10 10 10 0.5 0.096 0.078 0.128 0.111 0.242
10 10 20 0.5 0.229 0.214 0.195 0.169 0.349
10 10 40 0.5 0.519 0.514 0.395 0.369 0.588
10 20 5 0.5 0.061 0.036 0.114 0.087 0.359
10 20 10 0.5 0.206 0.169 0.246 0.228 0.435
10 20 20 0.5 0.528 0.508 0.452 0.419 0.681
10 20 40 0.5 0.889 0.884 0.761 0.741 0.927
100 0 5 0.5 0.036 0.021 0.064 0.042 0.214
100 0 10 0.5 0.045 0.029 0.049 0.051 0.107
100 0 20 0.5 0.051 0.049 0.052 0.058 0.066
100 0 40 0.5 0.045 0.045 0.048 0.043 0.053
100 50 5 0.5 0.032 0.019 0.063 0.038 0.199
100 50 10 0.5 0.069 0.057 0.081 0.075 0.135
100 50 20 0.5 0.125 0.117 0.105 0.117 0.185
100 50 40 0.5 0.208 0.205 0.145 0.162 0.26
100 100 5 0.5 0.053 0.026 0.079 0.048 0.274
100 100 10 0.5 0.117 0.092 0.12 0.121 0.255
100 100 20 0.5 0.263 0.251 0.234 0.228 0.357
100 100 40 0.5 0.536 0.527 0.345 0.389 0.598
100 200 5 0.5 0.082 0.042 0.132 0.101 0.388
100 200 10 0.5 0.235 0.193 0.232 0.227 0.466
100 200 20 0.5 0.542 0.512 0.42 0.435 0.693
100 200 40 0.5 0.905 0.899 0.712 0.759 0.937
4 0 5 1 0.039 0.032 0.054 0.038 0.136
4 0 10 1 0.033 0.026 0.038 0.036 0.075
4 0 20 1 0.044 0.044 0.05 0.047 0.063
